full_citation,study,web_of_science,country,mountain,study_spatial_scale,latitude,longitude,historic_year,modern_year,duration,taxa_specific,taxa,thermy,temp_change,expected_shift_given_in_study,lapse_rate,expected_shift,species_level_data,sp_n,sp_n_mean,shift_mean,shift_mean_se,responsiveness_mean,sp_n_lower_limit,shift_lower_limit,shift_lower_limit_se,responsiveness_lower,sp_n_upper,shift_upper_limit,shift_upper_limit_se,responsiveness_upper,weighted_shift,weighted_se,responsiveness,extraction_notes,temp_change_and_exp_shift_notes
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 butterfly,no,Great Britain,entire country,regional,53.408198,-1.613148,1970-1982,1995-1999,21,butterfly,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,29,29,11.1,6.75,0.102493075,NA,NA,NA,NA,NA,NA,NA,NA,11.1,6.75,0.102493075,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 ground beetle,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,ground beetle,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,59,59,12.7,6.31,0.117266851,NA,NA,NA,NA,NA,NA,NA,NA,12.7,6.31,0.117266851,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 millipede,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,millipede,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,6,6,24,10.21,0.221606648,NA,NA,NA,NA,NA,NA,NA,NA,24,10.21,0.221606648,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 spider,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,spider,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,85,85,24.3,4.97,0.224376731,NA,NA,NA,NA,NA,NA,NA,NA,24.3,4.97,0.224376731,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 soldier beetle,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,soldier beetles & allies,arthropod,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,16,16,62.1,9.89,0.573407202,NA,NA,NA,NA,NA,NA,NA,NA,62.1,9.89,0.573407202,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Hickling, R., Roy, D. B., Hill, J. K., Fox, R., & Thomas, C. D. (2006). The distributions of a wide range of taxonomic groups are expanding polewards. Global change biology, 12(3), 450-455.",Hickling et al. 2006 fish,no,Great Britain,entire country,regional,53.408198,-1.613148,1965-1975,1990-2000,25,fish,fish,ectotherm,0.596,yes,expected shifts provided by Chen et al. 2011 ,108.3,no,15,15,32.7,12.71,0.301939058,NA,NA,NA,NA,NA,NA,NA,NA,32.7,12.71,0.301939058,data for mean elevation shift reported in Table 1,Not reported in paper; I used the values for expected shifts from this study previously reported in the Chen et al. 2011 Science paper. I then back-calculated temperature change using an assumed lapse rate of 0.55 C / 100 m
"Chen, I. C., Shiu, H. J., Benedick, S., Holloway, J. D., Chey, V. K., Barlow, H. S., ... & Thomas, C. D. (2009). Elevation increases in moth assemblages over 42 years on a tropical mountain. Proceedings of the National Academy of Sciences, 106(5), 1479-1483.",Chen et al. 2009,yes,Malaysia,Mt. Kinabalu,local,6.070527,116.55779,1965,2007,42,moth,arthropod,ectotherm,0.71,yes,expected shifts provided by Chen et al. 2011 ,127,yes (see Wu et al. 2019 Nature Communications),208,102,67,61,0.527559055,208,196.9471154,23.46563583,1.550764688,208,39.03846154,26.4281363,0.307389461,107.9517375,32.04614788,0.850013681,data for mean elevation shift reported in main text,"""Regional warming for the 5ç cell in which Mt. Kinabalu lies (Methods) was 0.7 çC over the 42-year period. Mean annual temperature anomalies (compared with 1961_1990 mean) for the decades before the 2 surveys (1956_1965 and 1998_2007) were 0.202 çC and 0.478 çC, respectively, showing a warming of 0.68 çC in 42 years. We also regressed annual temperature anomalies against year for the period 1956 to 2007 (coefficient 0.017, r2 0.55), which gave an estimate of 0.71 çC over 42 years. Lapse rates for the moist tropics are likely to be 0.55 çC reduction in temperature per 100-m increase in altitude (22). At this lapse rate, 0.7 çC regional warming would be equivalent to an upwards shift of 127 m."""
"Moret, P., Muriel, P., Jaramillo, R., & Dangles, O. (2019). Humboldt's Tableau Physique revisited. Proceedings of the National Academy of Sciences, 116(26), 12889-12894.",Moret et al. 2019,yes,Ecuador,Antisana,local,-0.484525,-78.153049,1802,2017,215,plant,plant,plant,1.46,yes,expected shifts provided by Chen et al. 2011 ,243,yes,1,NA,NA,NA,NA,NA,NA,NA,NA,1,241,NA,0.991769547,241,NA,0.991769547,data for upper limit shift reported in main text,Temperature change and expected shift taken from Morueta-Holme et al. 2015 PNAS paper (for neighboring Chimbarazo)
"Moskwik, M. (2014). Recent elevational range expansions in plethodontid salamanders (Amphibia: Plethodontidae) in the southern Appalachian Mountains. Journal of Biogeography, 41(10), 1957-1966.",Moskwik 2014 Great Smokey Mountains,yes,USA,Great Smokey Mountains,local,35.61,-83.44814,1949,2011,62,salamander,amphibian,ectotherm,-1.2,no,used lapse rate of 0.615 C / 100 m reported by Sheldon 2012 for nearby site,-195.1219512,yes,2,NA,NA,NA,NA,2,-32,80,0.164,2,128.5,128.5,-0.6585625,48.25,104.25,-0.24728125,"data presented in Figure 2, extracted using WebPlotDigitzer",Estimated temperature change is the midpoint of change in max temp and change in min temp at this site. No information on lapse rate presented.
"Moskwik, M. (2014). Recent elevational range expansions in plethodontid salamanders (Amphibia: Plethodontidae) in the southern Appalachian Mountains. Journal of Biogeography, 41(10), 1957-1966.",Moskwik 2014 Black Mountain,yes,USA,Black Mountain,local,35.76488,-82.26511,1940-1947,2011,67.5,salamander,amphibian,ectotherm,-1,no,used lapse rate of 0.615 C / 100 m reported by Sheldon 2012 for nearby site,-162.601626,yes,4,NA,NA,NA,NA,4,-149.25,93.5390961,0.9178875,4,100.25,77.99185321,-0.6165375,-24.5,85.76547466,0.150675,"data presented in Figure 2, extracted using WebPlotDigitzer",Estimated temperature change is the midpoint of change in max temp and change in min temp at this site. No information on lapse rate presented.
"DeLuca, W. V., & King, D. I. (2017). Montane birds shift downslope despite recent warming in the northern Appalachian Mountains. Journal of Ornithology, 158(2), 493-505.",DeLuca & King 2017,yes,USA,White Mountains (New Hampshire),local,44.0884,-71.472527,1993,2009,16,bird,bird,endotherm,0.112,no,used lapse rate of 0.58 C / 100 m reported by Kirchman & van Keruren 2017 for nearby site,19.31034483,yes,11,11,-2.867272727,2.092615628,-0.148483766,11,-14.87363636,3.587573065,-0.770241883,11,7.594874275,6.713426946,0.393305989,-3.382011605,4.131205213,-0.175139887,data presented for shifts at both elevational limits and mean elevation in Table 2; I analyze only the set of 11 species of montane birds for which the author's modern point counts encompass the species' elevational range,Authors use the rate of warming (0.07 C / decade) observed at the mid elevation station on Mt Washington to estimate temperature changes in the White Mountains. No information on lapse rate presented.
"Neate-Clegg, M. H., Jones, S. E., Burdekin, O., Jocque, M., & Sekercioglu, C. H. (2018). Elevational changes in the avian community of a Mesoamerican cloud forest park. Biotropica, 50(5), 805-815.",Neate-Clegg et al. 2018,no,Honduras,Cosuco National Park,local,15.5132,-88.276799,2007,2017,10,bird,bird,endotherm,0.18,no,used lapse rate of 0.52 C / 100 m reported by Molina-Martinez et al. 2016 for nearby site,34.61538462,yes,18,18,16.53333333,14.37474865,0.47762963,NA,NA,NA,NA,NA,NA,NA,NA,16.53333333,14.37474865,0.47762963,data for species' elevation shifts reported as per-year rates in Table 2; multiplied by 10 to get overall shifts for the study period,Via personal communication with M. Neate-Clegg:the increase in temperature at this site is 0.18 C / decade (data to estimate this rate of change comes from CRU). No information on lapse rate presented
"Moret, P., Aruz, M. D. L., Gobbi, M., & Barragon. (2016). Climate warming effects in the tropical Andes: first evidence for upslope shifts of Carabidae (Coleoptera) in Ecuador. Insect Conservation and Diversity, 9(4), 342-350.",Moret et al. 2016,yes,Ecuador,Pichincha,local,-0.174291,-78.614588,1985-1986,2013-2014,28,ground beetle,arthropod,ectotherm,0.3,no,used lapse rate of 0.52 C / 100 m reported by Forero-Medina et al. 2011 for nearby site,57.69230769,yes,12,NA,NA,NA,NA,12,17.5,31.21589048,0.303333333,12,86.25,32.62786618,1.495,51.875,31.92187833,0.899166667,"data for elevational limit shifts presented in Figure 4, extracted using WebPlotDigitizer","No values for temperature given in this study. I therefore extracted mean annual temperatures from CRU for the grid cell containing Pichincha. I calculated historic mean temperature as the mean of the years 1984, 1985 and 1986 ( = 15.43 C; I did not go further back because 1983 was an abnormally hot El Ni_o year) and modern mean temperature as the mean of the years 2012, 2013 and 2014 ( = 15.73 C), such that the estimated temperature increase over the study period is 0.3 C. No information on lapse rate presented."
"Moskwik, M. (2014). Recent elevational range expansions in plethodontid salamanders (Amphibia: Plethodontidae) in the southern Appalachian Mountains. Journal of Biogeography, 41(10), 1957-1966.",Moskwik 2014 Nantahala,yes,USA,Nantahala,local,35.02965,-83.49442,1949,2011,62,salamander,amphibian,ectotherm,0.3,no,used lapse rate of 0.615 C / 100 m reported by Sheldon 2012 for nearby site,48.7804878,yes,2,NA,NA,NA,NA,2,32.5,24.5,0.66625,2,-5,5,-0.1025,13.75,14.75,0.281875,"data presented in Figure 2, extracted using WebPlotDigitzer",Estimated temperature change is the midpoint of change in max temp and change in min temp at this site. No information on lapse rate presented.
"Enriquez-Urzelai, U., Bernardo, N., Moreno-Rueda, G., Montori, A., & Llorente, G. (2019). Are amphibians tracking their climatic niches in response to climate warming? A test with Iberian amphibians. Climatic Change, 154(1-2), 289-301.",Enriquez-Urzulei et al. 2019,yes,Spain,entire country,regional,39.939408,-3.379978,1901-1990,2000-2015,62.5,frog,amphibian,ectotherm,0.3,no,used lapse rate of 0.61 C / 100 m reported by Menendez et al. 2014 for nearby site,49.18032787,yes,22,NA,NA,NA,NA,22,-12.13272727,10.73919528,-0.246698788,22,84.26454545,21.17219196,1.713379091,36.06590909,15.95569362,0.733340152,data for shifts reported in supplemental material Table S1,Authors report that temperatures on the Iberian Peninsula have increased on average by 0.3 C. Authors do not present information on lapse rate
"Campos-Cerqueira, M., Arendt, W. J., Wunderle Jr, J. M., & Aide, T. M. (2017). Have bird distributions shifted along an elevational gradient on a tropical mountain?. Ecology and evolution, 7(23), 9914-9924.",Campos-Cerqueira et al. 2017,yes,USA,Luquillo Mountains,local,18.275643,-65.765118,1998,2015,17,bird,bird,endotherm,0.34,no,"used lapse rate of 0.52 C / 100 m reported by Molina-Martinez et al. 2016 for Mexico, which is similar to values from other Neotropical sites (lapse rate for Puerto Rico uncertain)",65.38461538,yes,20,NA,NA,NA,NA,20,-44.9,26.66161246,-0.686705882,20,51.1,36.27271702,0.781529412,3.1,31.46716474,0.047411765,data for elevational limit shifts presented in Table 1; I did not include a migratory species (American Redstart) in my analysis of this dataset,Authors present several estimates of warming in the region. Perhaps the best is the estimate of warming of 0.02 C per year during the study period along the elevational gradient at the study site. 0.02 * 17 years = 0.34. Authors do not present information on local lapse rate.
"Moskwik, M. (2014). Recent elevational range expansions in plethodontid salamanders (Amphibia: Plethodontidae) in the southern Appalachian Mountains. Journal of Biogeography, 41(10), 1957-1966.",Moskwik 2014 Balsam Mountain,yes,USA,Balsam Mountain,local,35.30319,-82.92764,1949,2011,62,salamander,amphibian,ectotherm,0.35,no,used lapse rate of 0.615 C / 100 m reported by Sheldon 2012 for nearby site,56.91056911,yes,2,NA,NA,NA,NA,2,-200,160,-3.514285714,2,0,0,0,-100,80,-1.757142857,"data presented in Figure 2, extracted using WebPlotDigitzer",Estimated temperature change is the midpoint of change in max temp and change in min temp at this site. No information on lapse rate presented.
"Comte, L., & Grenouillet, G. (2013). Do stream fish track climate change? Assessing distribution shifts in recent decades. Ecography, 36(11), 1236-1246.",Comte & Grenouillet 2013,yes,France,whole country,regional,46.371139,3.246486,1980-1992,2003-2009,20,fish,fish,ectotherm,0.48,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,92.30769231,yes,32,32,26.14625,7.598082589,0.283251042,32,4.854375,2.638161664,0.052589063,32,116.895,35.50241386,1.2663625,49.29854167,15.24621937,0.534067535,data presented for shifts at both elevational limits and mean elevation in TableA7 in Appendix 4,"Temperature changes have been variable across France (the study region includes the whole country), but the authors report an average increase in temperature of 0.24 degrees/decade, and two decades have elapsed between historic and modern survey periods. The authors report that they use lapse rates to calculate changes in temperature isotherms, but I cannot find the lapse rate stated in the text (perhaps because lapse rates varied regionally within France)."
"Campos-Cerqueira, M., & Aide, T. M. (2017). Lowland extirpation of anuran populations on a tropical mountain. PeerJ, 5, e4059.",Campos-Cerqueira & Aide 2017,yes,USA,Luquillo Mountains,local,18.275643,-65.765118,pre 1990,2015-2016,25.5,frog,amphibian,ectotherm,0.51,no,"used lapse rate of 0.52 C / 100 m reported by Molina-Martinez et al. 2016 for Mexico, which is similar to values from other Neotropical sites (lapse rate for Puerto Rico uncertain)",98.07692308,yes,12,NA,NA,NA,NA,12,132.5833333,78.70827017,1.351830065,12,-11.25,52.44999422,-0.114705882,60.66666667,65.5791322,0.618562092,data for elevational limit shifts presented in Table 1,"Authors present several estimates of warming in the region, both in this paper and their other paper on birds at the same site. Perhaps the best is the estimate of warming of 0.02 C per year during the study period along the elevational gradient at the study site. 0.02 * 25.5 years = 0.51. Authors do not present information on local lapse rate."
"Becker-Scarpitta, A., Vissault, S., & Vellend, M. (2019). Four decades of plant community change along a continental gradient of warming. Global change biology, 25(5), 1629-1641.",Becker-Scarpitta et al. 2019,no,Canada,Forillon,local,48.886455,-64.377071,1972,2015,43,plant,plant,plant,0.52,no,used lapse rate of 0.58 C / 100 m reported by Kirchman & van Keruren 2017 for nearby site,89.65517241,yes,35,35,11.74285714,13.68550376,0.130978022,NA,NA,NA,NA,NA,NA,NA,NA,11.74285714,13.68550376,0.130978022,data for mean elevation shift reported in Appendix S4,Authors present several analyses to estimate temperature change. Two methods each give the same estimate of warming at this site (= 0.12 degrees Celsius/ decade). This equates to an an estimated warming of 0.52 degrees C over the study period. No information on lapse rate provided.
"Zuckerberg, B., Woods, A. M., & Porter, W. F. (2009). Poleward shifts in breeding bird distributions in New York State. Global Change Biology, 15(8), 1866-1883.",Zuckerberg et al. 2009,no,USA,New York,regional,43.260722,-75.503196,1980-1985,2000-2005,20,bird,bird,endotherm,0.6,no,used lapse rate of 0.58 C / 100 m reported by Kirchman & van Keruren 2017 for nearby site,103.4482759,yes,129,129,-5.202325581,2.124964223,-0.050289147,43,-14.1255814,8.162908774,-0.136547287,42,7.935714286,11.3507703,0.076711905,-4.41682243,5.148868292,-0.04269595,data for elevation shifts presented in Appendix A; note that shifts at lower and upper limits are estimated only for subsets of the data (43 and 42 species respectively; no species had estimates of both upper and lower shifts & many had no estimates of limit shifts),The authors used the rate of warming observed in the northeastern US (0.3 C / decade) to estimate changes in New York State. No information on lapse rate provided.
"Tingley, M. W. (2011). Long-term trends in the avifauna of the Sierra Nevada: community dynamics and species occupancy over a century of climate change (Doctoral dissertation, UC Berkeley).",Tingley 2011 Southern,"yes, to paper (not dissertation)",USA,Southern Sierras: Kern Plateau/Sequioa National Park,local,36.489567,-118.79626,1911-1929,2003-2009,86,bird,bird,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,73,73,-3.315068493,34.4457688,-0.032598174,73,-129.739726,46.90777987,-1.275773973,73,131.9726027,78.81990138,1.297730594,-0.360730594,53.39115002,-0.003547184,"data presented in Table S3; shifts at ""range center"" reported here as an estimate of mean elevation shifts","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Tingley, M. W. (2011). Long-term trends in the avifauna of the Sierra Nevada: community dynamics and species occupancy over a century of climate change (Doctoral dissertation, UC Berkeley).",Tingley 2011 Northern,"yes, to paper (not dissertation)",USA,Northern Sierras: Lassen Volcanic National Park,local,40.439543,-121.650915,1911-1929,2003-2009,86,bird,bird,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,78,78,27.57692308,14.28320097,0.271173077,78,36.48717949,25.11304275,0.358790598,78,97.75641026,46.06133319,0.961271368,53.94017094,28.48585897,0.530411681,"data presented in Table S3; shifts at ""range center"" reported here as an estimate of mean elevation shifts","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Tingley, M. W. (2011). Long-term trends in the avifauna of the Sierra Nevada: community dynamics and species occupancy over a century of climate change (Doctoral dissertation, UC Berkeley).",Tingley 2011 Central,"yes, to paper (not dissertation)",USA,Central Sierras: Yosemite National Park,local,37.699399,-119.891094,1911-1929,2003-2009,86,bird,bird,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,78,78,46.93589744,15.40648414,0.461536325,78,-19.25641026,40.04733894,-0.189354701,78,203.0897436,57.54367143,1.997049145,76.92307692,37.6658315,0.756410256,"data presented in Table S3; shifts at ""range center"" reported here as an estimate of mean elevation shifts","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Rowe, K. C., Rowe, K. M., Tingley, M. W., Koo, M. S., Patton, J. L., Conroy, C. J., ... & Moritz, C. (2015). Spatially heterogeneous impact of climate change on small mammals of montane California. Proceedings of the Royal Society B: Biological Sciences, 282(1799), 20141857.",Rowe et al. 2015 Northern,yes,USA,Northern Sierras: Lassen Volcanic National Park,local,40.439543,-121.650915,1911-1934,2003-2010,84,mammal,mammal,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,25,NA,NA,NA,NA,25,6.64,48.42082472,0.065293333,25,2.32,102.3061536,0.022813333,4.48,75.36348917,0.044053333,"data for elevational limit shifts presented in Figure 2, extracted using WebPlotDigitizer","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Rowe, K. C., Rowe, K. M., Tingley, M. W., Koo, M. S., Patton, J. L., Conroy, C. J., ... & Moritz, C. (2015). Spatially heterogeneous impact of climate change on small mammals of montane California. Proceedings of the Royal Society B: Biological Sciences, 282(1799), 20141857.",Rowe et al. 2015 Central,yes,USA,Central Sierras: Yosemite National Park,local,37.699399,-119.891094,1911-1934,2003-2010,84,mammal,mammal,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,31,NA,NA,NA,NA,31,106.8064516,61.48015537,1.050263441,31,-2.516129032,49.18855254,-0.024741935,52.14516129,55.33435395,0.512760753,"data for elevational limit shifts  presented in Figure 2, extracted using WebPlotDigitizer","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Rowe, K. C., Rowe, K. M., Tingley, M. W., Koo, M. S., Patton, J. L., Conroy, C. J., ... & Moritz, C. (2015). Spatially heterogeneous impact of climate change on small mammals of montane California. Proceedings of the Royal Society B: Biological Sciences, 282(1799), 20141857.",Rowe et al. 2015 Southern,yes,USA,Southern Sierras: Kings Canyon/Sequoia National Parks ,local,36.489567,-118.79626,1911-1934,2003-2010,84,mammal,mammal,endotherm,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,26,NA,NA,NA,NA,26,211.0384615,56.86043591,2.075211538,26,-1.384615385,83.10723521,-0.013615385,104.8269231,69.98383556,1.030798077,"data for elevational limit shifts presented in Figure 2, extracted using WebPlotDigitizer","The Grinnell resurvey papers do not report overall mean temperature changes for sites (e.g. Northern, Central or Southern Sierras), as there is smaller-scale variation within these regions. I ues the value they report for mean temperature increase during this time period in California, which is 0.6 C. No information on lapse rate provided."
"Crimmins, S. M., Dobrowski, S. Z., Greenberg, J. A., Abatzoglou, J. T., & Mynsberge, A. R. (2011). Changes in climatic water balance drive downhill shifts in plant species' optimum elevations. Science, 331(6015), 324-327.",Crimmins et al. 2011,no,USA,Caliornia (entire state),regional,37.593691,-119.736711,1930-1930,2000-2005,70,plant,plant,plant,0.6,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,101.6949153,yes,64,64,-88.2359375,35.49306783,-0.867653385,NA,NA,NA,NA,NA,NA,NA,NA,-88.2359375,35.49306783,-0.867653385,"data for optimum elevation shift (here coded as ""mean elevation shift"") reported in Table S1","Authors report an overall increase in temperatures across California of 0.6 C during this time period (temperature increase noted to be spatially consistent across state). They also report changes in precipitation, and predict downhill shifts of ~ 85 m for optimum elevations when combining both changes in temperature and in precipitation, a prediction that fits with their observed results. Authors do not directly report lapse rates for temperature within California."
"Felde, V. A., Kapfer, J., & Grytnes, J. A. (2012). Upward shift in elevational plant species ranges in Sikkilsdalen, central Norway. Ecography, 35(10), 922-932.",Felde et al. 2012,yes,Norway,Sikkilsdalen,local,61.484515,9.024343,1922-1932,2008,81,plant,plant,plant,0.6,no,"used lapse rate of 0.59 C / 100 m reported by Bassler et al. 2013 for Germany, nearest data point to Scandinavia in this dataset",101.6949153,yes,45,45,41.37777778,11.33316795,0.406881481,NA,NA,NA,NA,NA,NA,NA,NA,41.37777778,11.33316795,0.406881481,data on species' shifts at optimum presented in Table A2; data on shifts at limits presented in Table A1 but confusing to interpret (e.g. both upward and lower shifts are presented for each species for each range limit),The authors present temperature changes by season; I report the mean of temperature change for each of four seasons. Authors do not present information on lapse rate
"Koide, D., Yoshida, K., Daehler, C. C., & Mueller Dombois, D. (2017). An upward elevation shift of native and non native vascular plants over 40 years on the island of Hawai'i. Journal of vegetation science, 28(5), 939-950.",Koide et al. 2017,yes,USA,Mauna Loa,local,19.426563,-155.61616,1966-1971,2010,41.5,plant,plant,plant,0.7,no,used lapse rate of 0.30 C / 100 m reported by Angelo & Daehler 2013 for nearby site,233.3333333,yes,69,69,65.14927536,17.50090238,0.27921118,69,90.49275362,22.78426823,0.387826087,69,31.58405797,21.94850447,0.135360248,62.40869565,20.74455836,0.267465839,data for shifts at mean elevation and elevational limits reported in Table S1,Authors report temperature changes measured using local weather stations; no information on lapse rate presented.
"Lenoir, J., G gout, J. C., Marquet, P. A., De Ruffray, P., & Brisse, H. (2008). A significant upward shift in plant species optimum elevation during the 20th century. science, 320(5884), 1768-1771.",Lenoir et al. 2008,yes,France,whole country,regional,45.205228,5.328361,1905-1985,1986-2005,50.5,plant,plant,plant,0.75,no,used lapse rate of 0.52 C / 100 m reported by Menendez et al. 2014 for nearby site,144.2307692,yes,171,171,64.8245614,12.14435977,0.449450292,NA,NA,NA,NA,NA,NA,NA,NA,64.8245614,12.14435977,0.449450292,"data for optimum elevation shift (here coded as ""mean elevation shift"") reported in Table S2",Authors report warming over France over this time period as 0.6 C & 0.9 to 1 C for alpine areas. I took the midpoint of the 0.6 and 0.9 estimates as the amount of warming for montane plants (= 0.75 C). Authors suggest a reasonable lapse rate estimate for this region would be a decline of 0.6 C per 100 m increase in elevation.
"Ploquin, E. F., Herrera, J. M., & Obeso, J. R. (2013). Bumblebee community homogenization after uphill shifts in montane areas of northern Spain. Oecologia, 173(4), 1649-1660.",Ploquin et al. 2013,yes,Spain,Cantabrian Range,local,43.262945,-3.544665,1988-1989,2007-2009,19.5,bumblebee,arthropod,ectotherm,0.9,no,used lapse rate of 0.61 C / 100 m reported by Menendez et al. 2014 for nearby site,147.5409836,yes,16,16,70.95625,76.39749612,0.480925694,16,173.9125,98.09480486,1.178740278,16,91.68125,45.73273282,0.621395139,112.1833333,73.4083446,0.760353704,data for species' shifts at mean elevation and elevational limits presented in Table 1,Authors report estimated warming in this region as 0.9 C increase. No information on lapse rate provided.
"Forister, M. L., McCall, A. C., Sanders, N. J., Fordyce, J. A., Thorne, J. H., OêBrien, J., ... & Shapiro, A. M. (2010). Compounded effects of climate change and habitat alteration shift patterns of butterfly diversity. Proceedings of the National Academy of Sciences, 107(5), 2088-2092.",Forister et al. 2010,yes,USA,Sierra Nevada,local,39.365209,-120.34974,1977-1986,1998-2007,21,butterfly,arthropod,ectotherm,0.93,no,used lapse rate of 0.59 C / 100 m reported by Kopp & Cleland 2014 for nearby site,157.6271186,yes,127,127,93.34589354,21.55695232,0.592194378,NA,NA,NA,NA,NA,NA,NA,NA,93.34589354,21.55695232,0.592194378,"authors shared species-level data with species identity anonymized (sp1, sp2, etc)","Elevational shifts estimated for species using data from four site (abbreviations = RC, LC, DP and CP) and slopes in temperature are reported for each of these sites in the supplemental information. Reported slopes with average max temperature and time are: RC = 0.027, LC = -0.012, DP = 0.10 & CP = 0.02. Hence the mean slope for average max temperature and time for these four sites taken together = 0.03375. Over 21 year period = increase in max temp of 0.71. For min temperature and time the slopes are: RC = 0.035, LC = 0.058, DP = .053 & CP = 0.076. Hence the mean slope for average min temperature and time for these four sites taken together is 0.055. Over 21 year period = increase in min temp of 1.17. Midpoint of increases in max and min temp over 21 year period is then 0.093 C. Lapse rate not reported"
